Generation,Agent Count,Mutation Rate,Best fitness,Avg. Fitness,Max. step count,Finished count
223,100,0.02,0.04754625,0.04754623,600,0
224,100,0.02,0.11846730,0.11846730,600,0
225,100,0.02,9.16326500,9.16326800,600,100
226,100,0.02,2.20758400,2.12022000,600,97
227,100,0.02,0.01231514,0.01231514,600,0
228,100,0.02,1.36242700,0.04101703,600,0
229,100,0.02,0.09434456,0.09429784,600,0
230,100,0.02,3.10039900,1.06474000,600,22
231,100,0.02,0.01563030,0.01556527,600,0
232,100,0.02,0.04820637,0.04817994,600,0
233,100,0.02,4.07787000,1.52561800,600,10
234,100,0.02,0.01743427,0.01722619,600,0
235,100,0.02,0.01319726,0.01319726,600,0
236,100,0.02,0.02376053,0.02355043,600,0
237,100,0.02,2.71701900,1.63828300,600,94
238,100,0.02,3.97265200,0.66707460,600,1
239,100,0.02,4.18877600,3.14796800,600,90
240,100,0.02,0.01192237,0.01181160,600,0
241,100,0.02,1.40569600,1.19131200,600,85
242,100,0.02,0.03257374,0.03121676,600,0
243,100,0.02,2.35208200,1.91679000,600,91
244,100,0.02,0.06543151,0.06543043,600,0
245,100,0.02,0.02032107,0.02031869,600,0
246,100,0.02,0.11846050,0.10845490,600,0
247,100,0.02,0.01331928,0.01302136,600,0
248,100,0.02,1.52510000,0.58843680,600,1
249,100,0.02,1.34198600,1.00894400,600,85
250,100,0.02,9.16326500,8.52855200,600,93
251,100,0.02,0.02350581,0.02206725,600,0
252,100,0.02,0.05413140,0.04811528,600,0
253,100,0.02,0.10951570,0.10489410,600,0
254,100,0.02,0.06543151,0.06542816,600,0
255,100,0.02,0.01494499,0.01493113,600,0
256,100,0.02,1.40569600,1.18877500,600,85
257,100,0.02,9.65051900,7.56460800,600,95
258,100,0.02,3.29568400,0.43825510,600,11
259,100,0.02,2.38408300,0.16268870,600,3
260,100,0.02,0.04874404,0.02136605,600,0
261,100,0.02,1.32283100,1.17002200,600,92
262,100,0.02,0.07809046,0.02352830,600,0
263,100,0.02,1.96116900,0.24033430,600,9
264,100,0.02,6.66893400,2.14519100,600,93
265,100,0.02,2.06281200,1.76626100,600,90
266,100,0.02,0.01031933,0.01031695,600,0
267,100,0.02,0.01376662,0.01368590,600,0
268,100,0.02,0.02052937,0.02052608,600,0
269,100,0.02,0.11569260,0.05081183,600,0
270,100,0.02,0.01924996,0.01907830,600,0
271,100,0.02,2.48721000,0.18935870,600,5
272,100,0.02,0.02913157,0.02910130,600,0
273,100,0.02,1.76946700,1.18228300,600,69
274,100,0.02,0.02052937,0.02052690,600,0
275,100,0.02,0.00807731,0.00807651,600,0
276,100,0.02,26.00000000,25.74084000,600,99
277,100,0.02,0.14191490,0.01746042,600,0
278,100,0.02,2.71704800,0.99816350,600,74
279,100,0.02,4.69822500,0.38565960,600,7
280,100,0.02,0.05308698,0.02490519,600,0
281,100,0.02,0.01924996,0.01912341,600,0
282,100,0.02,0.04820637,0.04819611,600,0
283,100,0.02,0.10826260,0.02314405,600,0
284,100,0.02,2.71694500,1.60543500,600,17
285,100,0.02,0.09639134,0.02077270,600,0
286,100,0.02,5.00000000,0.42850240,600,8
287,100,0.02,1.67186200,0.91805080,600,56
288,100,0.02,10.18274000,8.63954500,600,94
289,100,0.02,14.71742000,11.19010000,600,94
290,100,0.02,6.66893400,5.71405500,600,94
291,100,0.02,1.71818400,1.58317400,600,95
292,100,0.02,0.01960239,0.01941448,600,0
293,100,0.02,2.08506900,1.76247700,600,88
294,100,0.02,0.01192237,0.01187330,600,0
295,100,0.02,0.07567029,0.07338347,600,0
296,100,0.02,0.10807820,0.10496110,600,0
297,100,0.02,2.48721000,2.00616300,600,84
298,100,0.02,0.05172534,0.05022656,600,0
299,100,0.02,0.11846050,0.11148600,600,0
300,100,0.02,0.05247547,0.05235626,600,0
301,100,0.02,0.01562025,0.01541207,600,0
302,100,0.02,0.00878508,0.00878429,600,0
303,100,0.02,0.10871170,0.10616250,600,0
304,100,0.02,0.00878508,0.00878325,600,0
305,100,0.02,0.02670858,0.02670060,600,0
306,100,0.02,0.11846050,0.11248240,600,0
307,100,0.02,0.70616070,0.63719330,600,0
308,100,0.02,0.10210850,0.09364375,600,0
309,100,0.02,1.28293300,1.08765900,600,85
310,100,0.02,0.70615810,0.63218640,600,0
311,100,0.02,0.04460787,0.01660580,600,0
312,100,0.02,10.18274000,1.47122500,600,81
313,100,0.02,2.66652000,1.16365600,600,72
314,100,0.02,5.16493100,1.74193800,600,57
315,100,0.02,0.01321961,0.01316324,600,0
316,100,0.02,40.06250000,40.06250000,600,100
317,100,0.02,2.13173400,0.08196349,600,2
318,100,0.02,0.02090978,0.01987679,600,0
319,100,0.02,1.85073700,1.07942800,600,80
320,100,0.02,0.04877293,0.04851687,600,0
321,100,0.02,2.52415800,0.11224670,600,3
322,100,0.02,3.29568400,2.54561800,600,80
323,100,0.02,0.01794981,0.01783193,600,0
324,100,0.02,1.72826200,1.18060800,600,84
325,100,0.02,0.05391734,0.05367922,600,0
326,100,0.02,0.04271512,0.02890166,600,0
327,100,0.02,0.01411471,0.01365716,600,0
328,100,0.02,0.02565137,0.02539290,600,0
329,100,0.02,0.06543151,0.06434161,600,0
330,100,0.02,0.02065870,0.02065872,600,0
331,100,0.02,1.43857700,1.29495100,600,90
332,100,0.02,2.26246700,1.99730000,600,97
333,100,0.02,0.01073246,0.01069719,600,0
334,100,0.02,0.04874404,0.03497830,600,0
335,100,0.02,1.62000100,0.14480930,600,2
336,100,0.02,0.02108560,0.02098195,600,0
337,100,0.02,0.06531815,0.06529772,600,0
338,100,0.02,0.10318320,0.10128450,600,0
339,100,0.02,1.80569500,0.06199741,600,3
340,100,0.02,0.01031933,0.01030947,600,0
341,100,0.02,0.05156617,0.05156614,600,0
